Name,Rating,Reviews,Industry,Employees,Domain,Years_in_Operation,HQ
TCS,3.8,73k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Mumbai +339 more
Accenture,4.0,46.2k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old,Dublin +170 more
Cognizant,3.9,41.6k Reviews,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old,Teaneck. New Jersey. +156 more
Wipro,3.8,39k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old,Bangalore/Bengaluru +276 more
Capgemini,3.9,33.9k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old,Paris +138 more
HDFC Bank,3.9,33.8k Reviews,Banking,1 Lakh+ Employees,Public,30 years old,Mumbai +1530 more
ICICI Bank,4.0,33.5k Reviews,Banking,1 Lakh+ Employees,Public,30 years old,Mumbai +1274 more
Infosys,3.8,31.7k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old,Bengaluru/Bangalore +178 more
HCLTech,3.7,28.4k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old,Noida +181 more
Tech Mahindra,3.7,27.6k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old,Pune +262 more
Genpact,3.9,26.1k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old,New York +107 more
Axis Bank,3.9,22k Reviews,Banking,50k-1 Lakh Employees,Public,31 years old,Mumbai +1294 more
Teleperformance,3.6,21.9k Reviews,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old,Paris +180 more
Concentrix Corporation,3.9,21.7k Reviews,BPO,50k-1 Lakh Employees,Public,41 years old,Fremont +112 more
Jio,4.0,20.5k Reviews,Telecom,50k-1 Lakh Employees,Public,17 years old,Navi Mumbai +1170 more
Amazon,4.1,20.4k Reviews,Internet,1 Lakh+ Employees,Public,30 years old,Seattle +436 more
IBM,4.1,19.7k Reviews,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old,Armonk +144 more
Larsen & Toubro Limited,4.0,18.8k Reviews,Engineering & Construction,10k-50k Employees,Public,86 years old,Mumbai +632 more
Reliance Retail,3.9,18.7k Reviews,Retail,1 Lakh+ Employees,18 years old,Navi Mumbai +986 more,
HDB Financial Services,4.0,18.1k Reviews,NBFC,1 Lakh+ Employees,17 years old,Ahmedabad +940 more,
Vodafone Idea,4.2,15.4k Reviews,Telecom,5k-10k Employees,Public,6 years old,Mumbai +638 more
BYJU'S,3.1,14.6k Reviews,EdTech,10k-50k Employees,Indian Unicorn,13 years old,Bangalore +305 more
Kotak Mahindra Bank,3.8,14.2k Reviews,Banking,50k-1 Lakh Employees,Public,21 years old,Mumbai +563 more
Deloitte,3.9,13.8k Reviews,Management Consulting,1 Lakh+ Employees,179 years old,London +145 more,
Reliance Industries,4.1,13.6k Reviews,Oil & Gas,1 Lakh+ Employees,Public,47 years old,Navi Mumbai +669 more
iEnergizer,4.6,12.3k Reviews,BPO,10k-50k Employees,24 years old,Noida +27 more,
Bharti Airtel,4.1,12.2k Reviews,Telecom,10k-50k Employees,Public,29 years old,Gurgaon/Gurugram +651 more
Tata Motors,4.2,11.2k Reviews,Automobile,10k-50k Employees,Public,79 years old,Pune +453 more
Flipkart,4.1,9.7k Reviews,Internet,10k-50k Employees,Public,17 years old,Bangalore +531 more
WNS,3.5,9.7k Reviews,BPO,10k-50k Employees,28 years old,Mumbai +37 more,
IndusInd Bank,3.7,9.2k Reviews,Banking,10k-50k Employees,Public,30 years old,Gurgaon/Gurugram +680 more
Ernst & Young,3.6,8.9k Reviews,Management Consulting,50k-1 Lakh Employees,22 years old,London +96 more,
AU Small Finance Bank,4.5,8.7k Reviews,Banking,10k-50k Employees,Fortune India 500,28 years old,Jaipur +401 more
Mahindra & Mahindra,4.2,8.7k Reviews,Automobile,1 Lakh+ Employees,Public,79 years old,Mumbai +472 more
Infosys BPM,3.8,8.3k Reviews,BPO,10k-50k Employees,22 years old,Bangalore/Bengaluru +66 more,
DXC Technology,3.8,8.3k Reviews,IT Services & Consulting,10k-50k Employees,Public,7 years old,Minato +81 more
IDFC FIRST Bank,4.0,8.1k Reviews,Banking,10k-50k Employees,Public,6 years old,Mumbai +575 more
Conneqt Business Solutions,3.7,7.7k Reviews,BPO,10k-50k Employees,22 years old,Mumbai +219 more,
LTIMindtree,3.7,7.7k Reviews,IT Services & Consulting,50k-1 Lakh Employees,Public,25 years old,Bangalore/Bengaluru +51 more
HDFC Life,4.1,7.7k Reviews,Insurance,10k-50k Employees,Public,24 years old,Mumbai +551 more
Bajaj Finserv,4.0,7.5k Reviews,Financial Services,50k-1 Lakh Employees,Public,17 years old,Pune +871 more
Mphasis,3.5,7k Reviews,IT Services & Consulting,10k-50k Employees,Public,26 years old,Bangalore/Bengaluru +49 more
PwC,3.6,6.9k Reviews,Management Consulting,10k-50k Employees,Conglomerate,144 years old,London +91 more
HSBC Group,4.1,6.8k Reviews,Banking,10k-50k Employees,Forbes Global 2000,22 years old,Pune +58 more
Hinduja Global Solutions,4.0,6.7k Reviews,IT Services & Consulting,10k-50k Employees,Public,24 years old,Bangalore/Bengaluru +100 more
Startek,3.2,6.7k Reviews,BPO,10k-50k Employees,Public,7 years old,Mumbai +72 more
Samsung,4.1,6.7k Reviews,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,86 years old,Seoul +498 more
